Country,Passport_Validity,Required_Documents,Additional_Notes
Serbia,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide hospital appointment and treatment estimate"
Seychelles,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Include hotel/hospital booking details"
Sierra Leone,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Vaccination documentation may be needed"
Singapore,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","E-visa and fast processing options sometimes available"
Slovakia,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide hospital confirmation and translated reports"
Slovenia,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Include treatment duration and cost estimate"
Solomon Islands,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Remote mission—allow extra time"
Somalia,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Security and consular checks likely"
South Africa,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Include hospital appointment and cost estimate"
South Sudan,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Consular processing may be lengthy"
Spain,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide travel insurance and hospital confirmation"
Sri Lanka,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Attendant details recommended if bringing caregiver"
Sudan,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Security and consular vetting possible"
Suriname,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Include hospital appointment and bank statements"
Sweden,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide hospital confirmation and cost estimate"
Switzerland,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Biometrics at VAC likely"
Syria,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Security/consular checks may be extensive"
Taiwan,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","E-visa options vary by nationality"
Tajikistan,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide hospital confirmation and translated reports"
Tanzania,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Yellow fever vaccination may be required"
Thailand,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Include hospital appointment and cost estimate"
Timor-Leste,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Remote mission—allow extra processing time"
Togo,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Vaccination checks possible"
Tonga,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Small mission—standard docs suffice"
Trinidad and Tobago,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Attendant details recommended"
Tunisia,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide hospital confirmation and translated documents"
Turkey,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Turkish translations helpful; provide hospital confirmation"
Turkmenistan,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Consular processing may be strict"
Tuvalu,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Remote mission—expect longer timelines"
Uganda,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Yellow fever/vaccination certificates may be required"
Ukraine,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide detailed medical reports and hospital confirmation"
United Arab Emirates,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Emirati nationals require sponsor or supporting docs in some cases"
United Kingdom,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Biometrics and VAC submission likely"
United States,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Biometrics and VAC appointment likely; include hospital cost estimate"
Uruguay,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide translated medical reports if needed"
Uzbekistan,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide hospital confirmation and translated reports"
Vanuatu,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Remote mission—allow extra processing"
Vatican City,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Small mission—standard docs suffice"
Venezuela,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Consular processing may be lengthy"
Vietnam,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Provide hospital appointment and cost estimate"
Yemen,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Security and consular checks may be extensive"
Zambia,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Include hospital confirmation and bank statements"
Zimbabwe,6 months minimum,"Passport valid for 6 months, Online Visa Form, Recent Photograph, Medical Treatment Letter from Indian Hospital, Proof of Funds, Travel Itinerary","Vaccination certificates may be requested"
