ID,Name,Specialty,Hospital_Group,City,District,State,Rating_5_Scale,Review_Summary,,,,,,,,
185,Metro Clinic,Dermatology,Max Healthcare,Raipur,Raipur District,Chhattisgarh,4.1,Average service; room service needs improvement.,,,,,,,,
186,Prime Medical Center,Plastic Surgery,Swasthya Foundation,Vadodara,Vadodara District,Gujarat,4.3,Good value for money and efficient treatment.,,,,,,,,
187,Apollo Health Institute,Nephrology,Apollo Group,Kolhapur,Kolhapur District,Maharashtra,4.7,Highly recommended for specialized surgery.,,,,,,,,
188,LifeCare Medical Center,Pediatrics,Swasthya Foundation,Gurugram,Gurugram District,Haryana,4.8,Highly recommended for specialized surgery.,,,,,,,,
189,City Health Centre,Obstetrics & Gynecology,Fortis Healthcare,Kochi,Kochi District,Kerala,3.5,Good value for money and efficient treatment.,,,,,,,,
190,National Super Speciality Hospital,General Surgery,Max Healthcare,Chennai,Chennai District,Tamil Nadu,3.2,Excellent diagnostics and attentive staff.,,,,,,,,
191,Sunrise Super Speciality Hospital,Nephrology,Manipal Hospitals,Vellore,Vellore District,Tamil Nadu,4.4,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
192,Yashodha Health Institute,Oncology,Prime Medical Group,Lucknow,Lucknow District,Uttar Pradesh,3.6,Caring doctors and quick emergency response.,,,,,,,,
193,Metro Medical Center,Gastroenterology,Fortis Healthcare,Kolkata,Kolkata District,West Bengal,3.9,Caring doctors and quick emergency response.,,,,,,,,
194,Trinity Hospital & Research,Cardiology,Manipal Hospitals,Jamshedpur,Jamshedpur District,Jharkhand,3.6,Average service; room service needs improvement.,,,,,,,,
195,Prime Health Centre,Orthopedics,CarePlus Hospitals,Gurugram,Gurugram District,Haryana,3.1,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
196,Raj Clinic,Gastroenterology,CarePlus Hospitals,Surat,Surat District,Gujarat,3.3,Excellent diagnostics and attentive staff.,,,,,,,,
197,Trinity Health Institute,Neurology,Narayana Health,Bhavnagar,Bhavnagar District,Gujarat,4.2,Caring doctors and quick emergency response.,,,,,,,,
198,Fortis Hospital & Research,Pediatrics,Manipal Hospitals,Agra,Agra District,Uttar Pradesh,4.6,Good value for money and efficient treatment.,,,,,,,,
199,Sujatha Health Centre,Oncology,Prime Medical Group,Bhopal,Bhopal District,Madhya Pradesh,4.6,Modern equipment but billing could be better.,,,,,,,,
200,Yashodha Medical Center,Dermatology,CarePlus Hospitals,Vijayawada,Vijayawada District,Andhra Pradesh,4,Good value for money and efficient treatment.,,,,,,,,
201,Fortis Hospital & Research,ENT,Fortis Healthcare,Kolkata,Kolkata District,West Bengal,4.2,Exceptional care and professional staff.,,,,,,,,
202,Crystal Clinic,Orthopedics,CarePlus Hospitals,Vadodara,Vadodara District,Gujarat,3.8,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
203,National Health Institute,Cardiology,Aster DM Healthcare,Ahmedabad,Ahmedabad District,Gujarat,3.7,Excellent diagnostics and attentive staff.,,,,,,,,
204,City Health Centre,Emergency Medicine,Independent,Coimbatore,Coimbatore District,Tamil Nadu,4.4,Highly recommended for specialized surgery.,,,,,,,,
205,Vijaya Hospital & Research,Gastroenterology,Global Health Group,Amritsar,Amritsar District,Punjab,4.9,Average service; room service needs improvement.,,,,,,,,
206,Swasth Care Hospital,Gastroenterology,City Health Org,Nashik,Nashik District,Maharashtra,3.8,Good value for money and efficient treatment.,,,,,,,,
207,Swasth Care Hospital,Pediatrics,Apollo Group,Coimbatore,Coimbatore District,Tamil Nadu,4.3,"Very skilled specialists, especially in their department.",,,,,,,,
208,Sujatha Health Institute,Psychiatry,Swasthya Foundation,Vellore,Vellore District,Tamil Nadu,4.6,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
209,Vijaya Hospital & Research,Orthopedics,Prime Medical Group,Pune,Pune District,Maharashtra,4,Good experience overall but long waiting times.,,,,,,,,
210,Vijaya Care Hospital,Orthopedics,Narayana Health,Amritsar,Amritsar District,Punjab,3.4,Good experience overall but long waiting times.,,,,,,,,
211,Crystal Care Hospital,Ophthalmology,Manipal Hospitals,Amritsar,Amritsar District,Punjab,4,Highly recommended for specialized surgery.,,,,,,,,
212,Fortis Health Centre,Rheumatology,Fortis Healthcare,Gurugram,Gurugram District,Haryana,3.9,Good value for money and efficient treatment.,,,,,,,,
213,LifeCare Care Hospital,Endocrinology,Global Health Group,Jodhpur,Jodhpur District,Rajasthan,5,Modern equipment but billing could be better.,,,,,,,,
214,National Clinic,Emergency Medicine,Max Healthcare,Patna,Patna District,Bihar,4.5,Highly recommended for specialized surgery.,,,,,,,,
215,Aster Health Centre,Pediatrics,City Health Org,Agra,Agra District,Uttar Pradesh,3.3,Good experience overall but long waiting times.,,,,,,,,
216,CarePlus Health Institute,Plastic Surgery,Prime Medical Group,Chennai,Chennai District,Tamil Nadu,3.3,Good experience overall but long waiting times.,,,,,,,,
217,Sanjeevani Super Speciality Hospital,Oncology,CarePlus Hospitals,Kolhapur,Kolhapur District,Maharashtra,4.3,Excellent diagnostics and attentive staff.,,,,,,,,
218,Harmony Hospital,Oncology,Prime Medical Group,Coimbatore,Coimbatore District,Tamil Nadu,4.5,Average service; room service needs improvement.,,,,,,,,
219,CarePlus Hospital & Research,Neurology,Narayana Health,Dehradun,Dehradun District,Uttarakhand,4.1,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
220,National Health Institute,Pulmonology,CarePlus Hospitals,Delhi,Delhi District,Delhi,3,Good experience overall but long waiting times.,,,,,,,,
221,Aster Health Centre,Orthopedics,Apollo Group,Ahmedabad,Ahmedabad District,Gujarat,4.3,Highly recommended for specialized surgery.,,,,,,,,
222,Apollo Clinic,Oncology,CarePlus Hospitals,Kolkata,Kolkata District,West Bengal,3.3,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
223,Raj Medical Center,Oncology,Max Healthcare,Jaipur,Jaipur District,Rajasthan,3.2,Good experience overall but long waiting times.,,,,,,,,
224,Metro Medical Center,Obstetrics & Gynecology,Global Health Group,Bhavnagar,Bhavnagar District,Gujarat,3,Good experience overall but long waiting times.,,,,,,,,
225,Sujatha Clinic,Radiology,Apollo Group,Nashik,Nashik District,Maharashtra,3.2,Good experience overall but long waiting times.,,,,,,,,
226,City Clinic,Dermatology,Global Health Group,Bhavnagar,Bhavnagar District,Gujarat,4.2,Highly recommended for specialized surgery.,,,,,,,,
227,Prime Hospital,Nephrology,Max Healthcare,Kochi,Kochi District,Kerala,3.8,Caring doctors and quick emergency response.,,,,,,,,
228,Yashodha Super Speciality Hospital,Pediatrics,Aster DM Healthcare,Jaipur,Jaipur District,Rajasthan,4.4,Modern equipment but billing could be better.,,,,,,,,
229,Yashodha Health Centre,Psychiatry,Swasthya Foundation,Chennai,Chennai District,Tamil Nadu,4,Good value for money and efficient treatment.,,,,,,,,
230,City Health Centre,Urology,Apollo Group,Gurugram,Gurugram District,Haryana,4.8,Average service; room service needs improvement.,,,,,,,,
231,Fortis Medical Center,Gastroenterology,Manipal Hospitals,Chennai,Chennai District,Tamil Nadu,3.9,Exceptional care and professional staff.,,,,,,,,
232,Vijaya Care Hospital,Urology,Aster DM Healthcare,Mumbai,Mumbai District,Maharashtra,4,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
233,Sanjeevani Health Centre,Oncology,Global Health Group,Mysore,Mysore District,Karnataka,3.5,Exceptional care and professional staff.,,,,,,,,
234,Vijaya Health Centre,Radiology,Apollo Group,Erode,Erode District,Tamil Nadu,4.1,Exceptional care and professional staff.,,,,,,,,
235,Aster Super Speciality Hospital,Nephrology,Fortis Healthcare,Srinagar,Srinagar District,Jammu & Kashmir,4.9,Average service; room service needs improvement.,,,,,,,,
236,City Hospital & Research,Urology,Apollo Group,Gurugram,Gurugram District,Haryana,4.3,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
237,Prime Hospital & Research,Pediatrics,Apollo Group,Noida,Noida District,Uttar Pradesh,3.9,Excellent diagnostics and attentive staff.,,,,,,,,
238,Sunrise Clinic,Cardiology,Fortis Healthcare,Indore,Indore District,Madhya Pradesh,4.9,Caring doctors and quick emergency response.,,,,,,,,
239,National Clinic,General,Global Health Group,Chandigarh,Chandigarh District,Chandigarh,3.8,Exceptional care and professional staff.,,,,,,,,
240,Sanjeevani Hospital & Research,Endocrinology,CarePlus Hospitals,Raipur,Raipur District,Chhattisgarh,3.2,"Very skilled specialists, especially in their department.",,,,,,,,
241,Metro Clinic,Pediatrics,Narayana Health,Vijayawada,Vijayawada District,Andhra Pradesh,4.7,Highly recommended for specialized surgery.,,,,,,,,
242,Harmony Medical Center,Gastroenterology,Fortis Healthcare,Jaipur,Jaipur District,Rajasthan,3.3,Highly recommended for specialized surgery.,,,,,,,,
243,CarePlus Medical Center,Nephrology,Apollo Group,Ranchi,Ranchi District,Jharkhand,4.6,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
244,Yashodha Hospital,Cardiology,Swasthya Foundation,Vellore,Vellore District,Tamil Nadu,3.5,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
245,National Hospital,General Surgery,Independent,Jaipur,Jaipur District,Rajasthan,4.6,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
246,Apollo Medical Center,Radiology,Max Healthcare,Hyderabad,Hyderabad District,Telangana,4.3,Excellent diagnostics and attentive staff.,,,,,,,,
247,Sanjeevani Super Speciality Hospital,Cardiology,CarePlus Hospitals,Agra,Agra District,Uttar Pradesh,3.8,Modern equipment but billing could be better.,,,,,,,,
248,LifeCare Clinic,Cardiology,Swasthya Foundation,Lucknow,Lucknow District,Uttar Pradesh,4,Average service; room service needs improvement.,,,,,,,,
249,Crystal Clinic,Emergency Medicine,Swasthya Foundation,Indore,Indore District,Madhya Pradesh,4.1,Good value for money and efficient treatment.,,,,,,,,
250,Harmony Hospital & Research,Pediatrics,Manipal Hospitals,Vellore,Vellore District,Tamil Nadu,3.4,Excellent diagnostics and attentive staff.,,,,,,,,
251,Fortis Health Institute,General,Apollo Group,Durgapur,Durgapur District,West Bengal,4.3,Good experience overall but long waiting times.,,,,,,,,
252,Global Hospital & Research,Cardiology,City Health Org,Durgapur,Durgapur District,West Bengal,4.4,Good value for money and efficient treatment.,,,,,,,,
253,LifeCare Medical Center,General,Independent,Dehradun,Dehradun District,Uttarakhand,4.2,Good experience overall but long waiting times.,,,,,,,,
254,LifeCare Hospital,Obstetrics & Gynecology,Fortis Healthcare,Coimbatore,Coimbatore District,Tamil Nadu,4.4,Caring doctors and quick emergency response.,,,,,,,,
255,National Hospital & Research,Neurology,Narayana Health,Durgapur,Durgapur District,West Bengal,3.3,Good experience overall but long waiting times.,,,,,,,,
256,Harmony Health Institute,Cardiology,Manipal Hospitals,Vadodara,Vadodara District,Gujarat,4.5,"Very skilled specialists, especially in their department.",,,,,,,,
257,Global Clinic,Obstetrics & Gynecology,Swasthya Foundation,Jamshedpur,Jamshedpur District,Jharkhand,3.2,Caring doctors and quick emergency response.,,,,,,,,
258,City Hospital & Research,Cardiology,CarePlus Hospitals,Kolhapur,Kolhapur District,Maharashtra,3.5,Exceptional care and professional staff.,,,,,,,,
259,Sanjeevani Health Institute,Nephrology,Manipal Hospitals,Patna,Patna District,Bihar,4.8,Good experience overall but long waiting times.,,,,,,,,
260,Prime Hospital,Pediatrics,Aster DM Healthcare,Bengaluru,Bengaluru District,Karnataka,4.9,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
261,Trinity Care Hospital,Cardiology,Prime Medical Group,Mysore,Mysore District,Karnataka,3.9,Exceptional care and professional staff.,,,,,,,,
262,Swasth Super Speciality Hospital,Pediatrics,Prime Medical Group,Bhopal,Bhopal District,Madhya Pradesh,4.4,Highly recommended for specialized surgery.,,,,,,,,
263,Harmony Care Hospital,Neurology,Fortis Healthcare,Kochi,Kochi District,Kerala,3.7,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
264,Prime Medical Center,Plastic Surgery,CarePlus Hospitals,Kanpur,Kanpur District,Uttar Pradesh,3.2,Good value for money and efficient treatment.,,,,,,,,
265,Yashodha Hospital & Research,Pulmonology,Fortis Healthcare,Erode,Erode District,Tamil Nadu,3.1,"Very skilled specialists, especially in their department.",,,,,,,,
266,National Medical Center,Orthopedics,Swasthya Foundation,Thoothukudi,Thoothukudi District,Tamil Nadu,4.6,Good value for money and efficient treatment.,,,,,,,,
267,Fortis Care Hospital,Oncology,Narayana Health,Agra,Agra District,Uttar Pradesh,3.8,Good experience overall but long waiting times.,,,,,,,,
268,Metro Hospital,Oncology,Manipal Hospitals,Indore,Indore District,Madhya Pradesh,5,Caring doctors and quick emergency response.,,,,,,,,
269,Yashodha Super Speciality Hospital,Neurology,Global Health Group,Ahmedabad,Ahmedabad District,Gujarat,4.7,Average service; room service needs improvement.,,,,,,,,
270,Harmony Medical Center,Obstetrics & Gynecology,Apollo Group,Agra,Agra District,Uttar Pradesh,4.6,Excellent diagnostics and attentive staff.,,,,,,,,
271,Vijaya Health Centre,Orthopedics,Manipal Hospitals,Bengaluru,Bengaluru District,Karnataka,4.2,Highly recommended for specialized surgery.,,,,,,,,
272,Aster Hospital,General Surgery,Aster DM Healthcare,Gurugram,Gurugram District,Haryana,4.6,Good experience overall but long waiting times.,,,,,,,,
273,CarePlus Super Speciality Hospital,ENT,City Health Org,Coimbatore,Coimbatore District,Tamil Nadu,3.2,Exceptional care and professional staff.,,,,,,,,
274,Prime Super Speciality Hospital,Rheumatology,Fortis Healthcare,Hyderabad,Hyderabad District,Telangana,4.7,Exceptional care and professional staff.,,,,,,,,
275,LifeCare Hospital & Research,Endocrinology,Prime Medical Group,Ranchi,Ranchi District,Jharkhand,3.5,Highly recommended for specialized surgery.,,,,,,,,
276,Sujatha Health Institute,Obstetrics & Gynecology,CarePlus Hospitals,Jamshedpur,Jamshedpur District,Jharkhand,4.1,Exceptional care and professional staff.,,,,,,,,
277,Harmony Clinic,ENT,Max Healthcare,Kanpur,Kanpur District,Uttar Pradesh,3.5,Exceptional care and professional staff.,,,,,,,,
278,Vijaya Hospital,Pediatrics,Max Healthcare,Bhavnagar,Bhavnagar District,Gujarat,4.2,Excellent diagnostics and attentive staff.,,,,,,,,
279,Prime Super Speciality Hospital,Gastroenterology,City Health Org,Ranchi,Ranchi District,Jharkhand,3,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
280,CarePlus Hospital & Research,Pediatrics,Narayana Health,Mysore,Mysore District,Karnataka,4.3,Exceptional care and professional staff.,,,,,,,,
281,Global Health Institute,Cardiology,Prime Medical Group,Thoothukudi,Thoothukudi District,Tamil Nadu,4.3,Exceptional care and professional staff.,,,,,,,,
282,Fortis Care Hospital,Orthopedics,Swasthya Foundation,Mysore,Mysore District,Karnataka,4,Good experience overall but long waiting times.,,,,,,,,
283,Vijaya Hospital & Research,Oncology,Swasthya Foundation,Amritsar,Amritsar District,Punjab,3.4,Modern equipment but billing could be better.,,,,,,,,
284,National Care Hospital,Plastic Surgery,Independent,Ranchi,Ranchi District,Jharkhand,4.3,Average service; room service needs improvement.,,,,,,,,
285,LifeCare Health Institute,Endocrinology,Fortis Healthcare,Visakhapatnam,Visakhapatnam District,Andhra Pradesh,3.7,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
286,Vijaya Hospital & Research,Neurology,Swasthya Foundation,Kolhapur,Kolhapur District,Maharashtra,3,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
287,Sanjeevani Super Speciality Hospital,Nephrology,Manipal Hospitals,Kolhapur,Kolhapur District,Maharashtra,3.8,Caring doctors and quick emergency response.,,,,,,,,
288,Apollo Clinic,Psychiatry,Max Healthcare,Delhi,Delhi District,Delhi,4.8,Good experience overall but long waiting times.,,,,,,,,
289,Prime Care Hospital,Urology,Prime Medical Group,Chandigarh,Chandigarh District,Chandigarh,4.2,Excellent diagnostics and attentive staff.,,,,,,,,
290,Yashodha Hospital,General,Max Healthcare,Kanpur,Kanpur District,Uttar Pradesh,4.5,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
291,CarePlus Hospital,Neurology,City Health Org,Trivandrum,Trivandrum District,Kerala,4.3,Excellent diagnostics and attentive staff.,,,,,,,,
292,CarePlus Care Hospital,Orthopedics,Prime Medical Group,Amritsar,Amritsar District,Punjab,3.4,Good value for money and efficient treatment.,,,,,,,,
293,National Medical Center,Gastroenterology,Narayana Health,Visakhapatnam,Visakhapatnam District,Andhra Pradesh,4.6,Good value for money and efficient treatment.,,,,,,,,
294,Sanjeevani Health Centre,Neurology,Fortis Healthcare,Vellore,Vellore District,Tamil Nadu,4.1,Exceptional care and professional staff.,,,,,,,,
295,Harmony Care Hospital,Oncology,Fortis Healthcare,Pune,Pune District,Maharashtra,4.6,Modern equipment but billing could be better.,,,,,,,,
296,National Health Institute,Plastic Surgery,Independent,Chennai,Chennai District,Tamil Nadu,3.6,Exceptional care and professional staff.,,,,,,,,
297,Vijaya Hospital & Research,Radiology,Aster DM Healthcare,Thoothukudi,Thoothukudi District,Tamil Nadu,3.9,Caring doctors and quick emergency response.,,,,,,,,
298,Yashodha Care Hospital,General Surgery,Narayana Health,Kochi,Kochi District,Kerala,3.8,Good experience overall but long waiting times.,,,,,,,,
299,National Super Speciality Hospital,Nephrology,City Health Org,Kanpur,Kanpur District,Uttar Pradesh,4.6,"Very skilled specialists, especially in their department.",,,,,,,,
300,Raj Medical Center,Pulmonology,Manipal Hospitals,Srinagar,Srinagar District,Jammu & Kashmir,3.1,Good value for money and efficient treatment.,,,,,,,,
301,Fortis Care Hospital,Ophthalmology,Aster DM Healthcare,Vijayawada,Vijayawada District,Andhra Pradesh,4.4,Good experience overall but long waiting times.,,,,,,,,
302,Vijaya Medical Center,Neurology,CarePlus Hospitals,Dehradun,Dehradun District,Uttarakhand,3.5,Average service; room service needs improvement.,,,,,,,,
303,Sujatha Care Hospital,Pulmonology,City Health Org,Ahmedabad,Ahmedabad District,Gujarat,3.2,Exceptional care and professional staff.,,,,,,,,
304,LifeCare Hospital,Emergency Medicine,Apollo Group,Visakhapatnam,Visakhapatnam District,Andhra Pradesh,4.2,Caring doctors and quick emergency response.,,,,,,,,
305,Sujatha Hospital & Research,Rheumatology,Global Health Group,Vadodara,Vadodara District,Gujarat,4.2,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
306,Global Hospital & Research,Emergency Medicine,Swasthya Foundation,Mumbai,Mumbai District,Maharashtra,3.6,Good experience overall but long waiting times.,,,,,,,,
307,National Health Centre,Endocrinology,City Health Org,Visakhapatnam,Visakhapatnam District,Andhra Pradesh,3.4,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
308,Harmony Medical Center,Pulmonology,CarePlus Hospitals,Bengaluru,Bengaluru District,Karnataka,4.3,Good value for money and efficient treatment.,,,,,,,,
309,Raj Health Institute,Obstetrics & Gynecology,Prime Medical Group,Durgapur,Durgapur District,West Bengal,3.3,Average service; room service needs improvement.,,,,,,,,
310,Yashodha Hospital & Research,Pulmonology,Narayana Health,Gurugram,Gurugram District,Haryana,4.6,Good value for money and efficient treatment.,,,,,,,,
311,Swasth Health Centre,Orthopedics,Swasthya Foundation,Indore,Indore District,Madhya Pradesh,4.8,Caring doctors and quick emergency response.,,,,,,,,
312,Harmony Super Speciality Hospital,Endocrinology,Swasthya Foundation,Durgapur,Durgapur District,West Bengal,4.8,Exceptional care and professional staff.,,,,,,,,
313,LifeCare Clinic,Rheumatology,Narayana Health,Chennai,Chennai District,Tamil Nadu,4.6,Highly recommended for specialized surgery.,,,,,,,,
314,Sujatha Medical Center,Plastic Surgery,City Health Org,Vellore,Vellore District,Tamil Nadu,4.4,Good value for money and efficient treatment.,,,,,,,,
315,LifeCare Super Speciality Hospital,Gastroenterology,Manipal Hospitals,Thoothukudi,Thoothukudi District,Tamil Nadu,4.9,Modern equipment but billing could be better.,,,,,,,,
316,Aster Clinic,Endocrinology,Prime Medical Group,Vadodara,Vadodara District,Gujarat,3.6,Average service; room service needs improvement.,,,,,,,,
317,Sunrise Health Centre,Nephrology,Fortis Healthcare,Gurugram,Gurugram District,Haryana,4.2,Exceptional care and professional staff.,,,,,,,,
318,LifeCare Health Centre,Emergency Medicine,CarePlus Hospitals,Jamshedpur,Jamshedpur District,Jharkhand,4.1,Good experience overall but long waiting times.,,,,,,,,
319,Vijaya Super Speciality Hospital,Pediatrics,Global Health Group,Varanasi,Varanasi District,Uttar Pradesh,3.8,Caring doctors and quick emergency response.,,,,,,,,
320,Crystal Care Hospital,General Surgery,Global Health Group,Nashik,Nashik District,Maharashtra,4.5,Highly recommended for specialized surgery.,,,,,,,,
321,Global Super Speciality Hospital,Oncology,Apollo Group,Bengaluru,Bengaluru District,Karnataka,3.5,Excellent diagnostics and attentive staff.,,,,,,,,
322,Swasth Hospital & Research,Oncology,Global Health Group,Bhavnagar,Bhavnagar District,Gujarat,4.9,Highly recommended for specialized surgery.,,,,,,,,
323,Swasth Super Speciality Hospital,General Surgery,Swasthya Foundation,Kolkata,Kolkata District,West Bengal,4.9,Exceptional care and professional staff.,,,,,,,,
324,Vijaya Health Centre,Oncology,Global Health Group,Chennai,Chennai District,Tamil Nadu,4.1,Average service; room service needs improvement.,,,,,,,,
325,Yashodha Medical Center,Cardiology,Global Health Group,Delhi,Delhi District,Delhi,4.3,Caring doctors and quick emergency response.,,,,,,,,
326,Prime Medical Center,Rheumatology,Narayana Health,Noida,Noida District,Uttar Pradesh,4.9,Good experience overall but long waiting times.,,,,,,,,
327,Yashodha Health Centre,Orthopedics,Swasthya Foundation,Jaipur,Jaipur District,Rajasthan,3.6,Exceptional care and professional staff.,,,,,,,,
328,Sunrise Medical Center,Endocrinology,Narayana Health,Jodhpur,Jodhpur District,Rajasthan,4.5,Good experience overall but long waiting times.,,,,,,,,
329,National Health Institute,Emergency Medicine,Swasthya Foundation,Indore,Indore District,Madhya Pradesh,4.1,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
330,Harmony Care Hospital,Orthopedics,Aster DM Healthcare,Indore,Indore District,Madhya Pradesh,3.3,Highly recommended for specialized surgery.,,,,,,,,
331,Global Health Centre,Obstetrics & Gynecology,Prime Medical Group,Patna,Patna District,Bihar,3.3,Exceptional care and professional staff.,,,,,,,,
332,Sanjeevani Health Centre,Orthopedics,Aster DM Healthcare,Vadodara,Vadodara District,Gujarat,4.4,Modern equipment but billing could be better.,,,,,,,,
333,Trinity Medical Center,Plastic Surgery,Narayana Health,Nagpur,Nagpur District,Maharashtra,4.7,Exceptional care and professional staff.,,,,,,,,
334,Harmony Super Speciality Hospital,Endocrinology,City Health Org,Durgapur,Durgapur District,West Bengal,4.8,Caring doctors and quick emergency response.,,,,,,,,
335,Prime Health Institute,Urology,CarePlus Hospitals,Durgapur,Durgapur District,West Bengal,4,"Very skilled specialists, especially in their department.",,,,,,,,
336,Metro Care Hospital,Nephrology,Fortis Healthcare,Varanasi,Varanasi District,Uttar Pradesh,4.1,Exceptional care and professional staff.,,,,,,,,
337,City Health Centre,General,Aster DM Healthcare,Vadodara,Vadodara District,Gujarat,3.1,Exceptional care and professional staff.,,,,,,,,
338,Crystal Health Centre,Pediatrics,Prime Medical Group,Kolkata,Kolkata District,West Bengal,4.2,"Very skilled specialists, especially in their department.",,,,,,,,
339,CarePlus Super Speciality Hospital,Urology,Max Healthcare,Raipur,Raipur District,Chhattisgarh,3.8,Excellent diagnostics and attentive staff.,,,,,,,,
340,Crystal Health Centre,Orthopedics,Max Healthcare,Hyderabad,Hyderabad District,Telangana,3.4,Caring doctors and quick emergency response.,,,,,,,,
341,Raj Care Hospital,Obstetrics & Gynecology,Max Healthcare,Srinagar,Srinagar District,Jammu & Kashmir,3.3,"Very skilled specialists, especially in their department.",,,,,,,,
342,Crystal Hospital,Orthopedics,City Health Org,Jaipur,Jaipur District,Rajasthan,3.1,Modern equipment but billing could be better.,,,,,,,,
343,Sujatha Care Hospital,Nephrology,CarePlus Hospitals,Bhopal,Bhopal District,Madhya Pradesh,3.4,Good experience overall but long waiting times.,,,,,,,,
344,Trinity Medical Center,Oncology,Max Healthcare,Ranchi,Ranchi District,Jharkhand,3.8,"Very skilled specialists, especially in their department.",,,,,,,,
345,Trinity Hospital,Urology,Global Health Group,Srinagar,Srinagar District,Jammu & Kashmir,4.5,Average service; room service needs improvement.,,,,,,,,
346,LifeCare Super Speciality Hospital,Emergency Medicine,Max Healthcare,Erode,Erode District,Tamil Nadu,4,Good experience overall but long waiting times.,,,,,,,,
347,City Health Centre,Radiology,City Health Org,Vadodara,Vadodara District,Gujarat,4.1,Good value for money and efficient treatment.,,,,,,,,
348,Swasth Hospital & Research,Orthopedics,Manipal Hospitals,Bhavnagar,Bhavnagar District,Gujarat,3.2,"Very skilled specialists, especially in their department.",,,,,,,,
349,Sanjeevani Care Hospital,Orthopedics,Fortis Healthcare,Bhopal,Bhopal District,Madhya Pradesh,4.1,Good experience overall but long waiting times.,,,,,,,,
350,Sujatha Health Institute,Endocrinology,Apollo Group,Vadodara,Vadodara District,Gujarat,4,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
351,Trinity Super Speciality Hospital,Oncology,Apollo Group,Srinagar,Srinagar District,Jammu & Kashmir,3.5,Average service; room service needs improvement.,,,,,,,,
352,LifeCare Health Institute,Nephrology,Swasthya Foundation,Jamshedpur,Jamshedpur District,Jharkhand,3.9,"Very skilled specialists, especially in their department.",,,,,,,,
353,Fortis Hospital,Oncology,Fortis Healthcare,Erode,Erode District,Tamil Nadu,5,"Very skilled specialists, especially in their department.",,,,,,,,
354,City Health Centre,General Surgery,Prime Medical Group,Hyderabad,Hyderabad District,Telangana,4.1,"Very skilled specialists, especially in their department.",,,,,,,,
355,Yashodha Hospital,Nephrology,Narayana Health,Ranchi,Ranchi District,Jharkhand,3.8,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
356,Harmony Health Centre,Pulmonology,Prime Medical Group,Jodhpur,Jodhpur District,Rajasthan,4.9,Excellent diagnostics and attentive staff.,,,,,,,,
357,National Health Centre,Oncology,Apollo Group,Srinagar,Srinagar District,Jammu & Kashmir,4.3,Good value for money and efficient treatment.,,,,,,,,
358,Fortis Health Centre,Oncology,Apollo Group,Thane,Thane District,Maharashtra,4.3,Caring doctors and quick emergency response.,,,,,,,,
359,CarePlus Health Institute,Ophthalmology,Prime Medical Group,Agra,Agra District,Uttar Pradesh,4.9,Highly recommended for specialized surgery.,,,,,,,,
360,Fortis Clinic,General Surgery,Max Healthcare,Bhopal,Bhopal District,Madhya Pradesh,4.2,"Very skilled specialists, especially in their department.",,,,,,,,
361,Aster Hospital & Research,Radiology,CarePlus Hospitals,Srinagar,Srinagar District,Jammu & Kashmir,5,Average service; room service needs improvement.,,,,,,,,
362,Crystal Super Speciality Hospital,Pediatrics,CarePlus Hospitals,Chennai,Chennai District,Tamil Nadu,3.1,"Timely treatment, clean facilities, and friendly nurses.",,,,,,,,
363,Apollo Hospital,Endocrinology,Swasthya Foundation,Coimbatore,Coimbatore District,Tamil Nadu,3.8,Good value for money and efficient treatment.,,,,,,,,
364,Raj Hospital & Research,Nephrology,Aster DM Healthcare,Gurugram,Gurugram District,Haryana,4,Average service; room service needs improvement.,,,,,,,,
365,Harmony Health Institute,Ophthalmology,City Health Org,Nagpur,Nagpur District,Maharashtra,3.5,Highly recommended for specialized surgery.,,,,,,,,
366,Apollo Health Institute,Nephrology,Manipal Hospitals,Srinagar,Srinagar District,Jammu & Kashmir,3.3,Good value for money and efficient treatment.,,,,,,,,
367,National Health Institute,Endocrinology,Independent,Kochi,Kochi District,Kerala,4.6,Caring doctors and quick emergency response.,,,,,,,,
