Flight_Number,Airline,Airline_Code,Origin_Code,Origin_City,Origin_Country,Destination_Code,Destination_City,Destination_Country,Departure_Time,Arrival_Time,Duration_Minutes,Stops,Economy_Price_INR,Business_Price_INR,Currency,Direction
6E7517,IndiGo,6E,YYZ,Toronto,Canada,BLR,Bengaluru,India,2025-07-06 20:15,2025-07-07 09:59,824,1 Stop,74783,163144,INR,To India
AI9679,Air India,AI,HYD,Hyderabad,India,DOH,Doha,Qatar,2025-06-21 19:00,2025-06-22 00:34,334,1 Stop,98792,243630,INR,From India
LH4491,Lufthansa,LH,BKK,Bangkok,Thailand,COK,Kochi,India,2025-05-01 14:30,2025-05-02 05:15,885,1 Stop,20220,41597,INR,To India
AI8291,Air India,AI,YYZ,Toronto,Canada,TRV,Thiruvananthapuram,India,2025-05-29 04:15,2025-05-29 11:55,460,1 Stop,91807,215536,INR,To India
SQ6579,Singapore Airlines,SQ,ICN,Seoul,South Korea,GOI,Goa,India,2025-07-16 06:15,2025-07-16 14:31,496,1 Stop,99547,183768,INR,To India
AI3915,Air India,AI,CDG,Paris,France,HYD,Hyderabad,India,2025-07-18 14:00,2025-07-19 02:09,729,1 Stop,66544,160885,INR,To India
SQ3060,Singapore Airlines,SQ,GOI,Goa,India,SIN,Singapore,Singapore,2025-09-18 18:15,2025-09-19 00:28,373,2+ Stops,47878,93546,INR,From India
BA8181,British Airways,BA,CCU,Kolkata,India,CDG,Paris,France,2025-07-27 16:15,2025-07-27 23:27,432,1 Stop,25845,65597,INR,From India
SQ8610,Singapore Airlines,SQ,FRA,Frankfurt,Germany,CCU,Kolkata,India,2025-02-12 04:30,2025-02-12 17:41,791,2+ Stops,23979,49778,INR,To India
EK7421,Emirates,EK,LHR,London,UK,BOM,Mumbai,India,2025-10-18 15:15,2025-10-18 22:42,447,2+ Stops,56677,121331,INR,To India
BA9232,British Airways,BA,LHR,London,UK,HYD,Hyderabad,India,2025-04-14 05:45,2025-04-14 10:10,265,1 Stop,23607,43455,INR,To India
LH1571,Lufthansa,LH,AMD,Ahmedabad,India,JFK,New York,USA,2025-03-04 22:00,2025-03-05 05:23,443,2+ Stops,61774,139089,INR,From India
UK5867,Vistara,UK,BLR,Bengaluru,India,NRT,Tokyo,Japan,2025-07-10 07:15,2025-07-10 13:11,356,Direct,25063,63995,INR,From India
SQ3359,Singapore Airlines,SQ,DOH,Doha,Qatar,DEL,New Delhi,India,2025-01-30 03:15,2025-01-30 11:40,505,2+ Stops,118952,214663,INR,To India
SQ6243,Singapore Airlines,SQ,TRV,Thiruvananthapuram,India,CDG,Paris,France,2025-02-24 15:30,2025-02-25 00:50,560,1 Stop,53686,113386,INR,From India
EK690,Emirates,EK,BLR,Bengaluru,India,NRT,Tokyo,Japan,2025-03-16 21:00,2025-03-17 07:59,659,Direct,114008,288448,INR,From India
BA7511,British Airways,BA,CDG,Paris,France,BOM,Mumbai,India,2025-03-14 14:00,2025-03-14 23:34,574,1 Stop,22848,52612,INR,To India
6E7495,IndiGo,6E,MAA,Chennai,India,NRT,Tokyo,Japan,2025-07-08 04:30,2025-07-08 11:16,406,2+ Stops,116477,214944,INR,From India
QR4958,Qatar Airways,QR,SFO,San Francisco,USA,AMD,Ahmedabad,India,2025-08-04 13:15,2025-08-04 18:54,339,1 Stop,23331,47055,INR,To India
6E1031,IndiGo,6E,NRT,Tokyo,Japan,HYD,Hyderabad,India,2025-06-13 14:45,2025-06-13 19:41,296,2+ Stops,40102,103579,INR,To India
QR4010,Qatar Airways,QR,NRT,Tokyo,Japan,GOI,Goa,India,2025-03-04 08:15,2025-03-04 17:28,553,Direct,76630,198687,INR,To India
LH8419,Lufthansa,LH,DOH,Doha,Qatar,COK,Kochi,India,2025-03-26 01:30,2025-03-26 06:57,327,1 Stop,103861,188281,INR,To India
QR9460,Qatar Airways,QR,LHR,London,UK,AMD,Ahmedabad,India,2025-04-07 11:45,2025-04-07 15:26,221,Direct,73600,145331,INR,To India
EK4587,Emirates,EK,ICN,Seoul,South Korea,BLR,Bengaluru,India,2025-04-01 06:00,2025-04-01 10:29,269,Direct,99764,237905,INR,To India
EK8612,Emirates,EK,CDG,Paris,France,BLR,Bengaluru,India,2025-10-27 09:15,2025-10-27 12:25,190,1 Stop,28610,67342,INR,To India
BA7908,British Airways,BA,YYZ,Toronto,Canada,GOI,Goa,India,2025-06-22 09:45,2025-06-22 14:17,272,Direct,22024,46858,INR,To India
BA5935,British Airways,BA,MAA,Chennai,India,SFO,San Francisco,USA,2025-01-20 05:30,2025-01-20 18:18,768,2+ Stops,97974,243608,INR,From India
6E9542,IndiGo,6E,GOI,Goa,India,JFK,New York,USA,2025-07-03 22:15,2025-07-04 06:43,508,Direct,113216,282414,INR,From India
SQ4090,Singapore Airlines,SQ,BOM,Mumbai,India,SYD,Sydney,Australia,2025-08-18 16:00,2025-08-19 04:03,723,Direct,90429,172493,INR,From India
UK3296,Vistara,UK,SFO,San Francisco,USA,TRV,Thiruvananthapuram,India,2025-02-23 09:30,2025-02-23 21:58,748,1 Stop,23941,43466,INR,To India
SQ3032,Singapore Airlines,SQ,FRA,Frankfurt,Germany,TRV,Thiruvananthapuram,India,2025-09-26 07:45,2025-09-26 12:30,285,Direct,65966,164626,INR,To India
SQ2343,Singapore Airlines,SQ,BOM,Mumbai,India,NRT,Tokyo,Japan,2025-10-28 16:30,2025-10-28 21:22,292,2+ Stops,35995,68290,INR,From India
SQ9881,Singapore Airlines,SQ,SFO,San Francisco,USA,MAA,Chennai,India,2025-07-24 05:00,2025-07-24 18:50,830,2+ Stops,70953,167101,INR,To India
BA9347,British Airways,BA,LHR,London,UK,COK,Kochi,India,2025-06-24 12:15,2025-06-24 20:58,523,1 Stop,113785,244463,INR,To India
BA289,British Airways,BA,GOI,Goa,India,LHR,London,UK,2025-09-23 04:30,2025-09-23 11:45,435,1 Stop,75330,175556,INR,From India
6E2384,IndiGo,6E,SFO,San Francisco,USA,GOI,Goa,India,2025-06-17 13:15,2025-06-18 00:51,696,1 Stop,107705,195663,INR,To India
AI8984,Air India,AI,AMD,Ahmedabad,India,FRA,Frankfurt,Germany,2025-01-22 01:30,2025-01-22 16:04,874,Direct,101719,205344,INR,From India
AI2835,Air India,AI,JFK,New York,USA,HYD,Hyderabad,India,2025-08-12 07:00,2025-08-12 14:54,474,Direct,34816,71175,INR,To India
QR4910,Qatar Airways,QR,ICN,Seoul,South Korea,TRV,Thiruvananthapuram,India,2025-02-14 14:15,2025-02-15 00:45,630,1 Stop,36242,80069,INR,To India
6E6434,IndiGo,6E,HYD,Hyderabad,India,DXB,Dubai,UAE,2025-10-08 09:45,2025-10-08 23:09,804,Direct,111073,250596,INR,From India
QR3193,Qatar Airways,QR,AMD,Ahmedabad,India,ICN,Seoul,South Korea,2025-09-03 15:30,2025-09-03 19:01,211,2+ Stops,51752,106967,INR,From India
AI4522,Air India,AI,TRV,Thiruvananthapuram,India,BKK,Bangkok,Thailand,2025-07-01 05:15,2025-07-01 13:46,511,1 Stop,92961,191535,INR,From India
AI1116,Air India,AI,LHR,London,UK,HYD,Hyderabad,India,2025-03-24 17:00,2025-03-25 06:20,800,2+ Stops,65612,141196,INR,To India
6E2399,IndiGo,6E,AMD,Ahmedabad,India,SIN,Singapore,Singapore,2025-09-25 07:15,2025-09-25 17:21,606,2+ Stops,64173,149817,INR,From India
QR2185,Qatar Airways,QR,CDG,Paris,France,TRV,Thiruvananthapuram,India,2025-09-24 03:45,2025-09-24 11:20,455,1 Stop,102662,242984,INR,To India
6E1919,IndiGo,6E,BKK,Bangkok,Thailand,DEL,New Delhi,India,2025-09-13 12:15,2025-09-13 22:22,607,1 Stop,56609,141421,INR,To India
BA5375,British Airways,BA,AMD,Ahmedabad,India,DOH,Doha,Qatar,2025-05-31 11:45,2025-05-31 23:43,718,Direct,92791,211223,INR,From India
QR9628,Qatar Airways,QR,COK,Kochi,India,NRT,Tokyo,Japan,2025-04-06 17:30,2025-04-06 22:58,328,Direct,77100,174272,INR,From India
EK9355,Emirates,EK,SIN,Singapore,Singapore,CCU,Kolkata,India,2025-06-17 06:45,2025-06-17 09:55,190,1 Stop,23352,42919,INR,To India
QR7146,Qatar Airways,QR,GOI,Goa,India,YYZ,Toronto,Canada,2025-10-04 19:45,2025-10-05 07:34,709,1 Stop,87799,209110,INR,From India
BA6234,British Airways,BA,CCU,Kolkata,India,LHR,London,UK,2025-08-21 00:00,2025-08-21 11:57,717,2+ Stops,50051,94054,INR,From India
UK9724,Vistara,UK,GOI,Goa,India,CDG,Paris,France,2025-04-08 13:45,2025-04-08 23:36,591,1 Stop,77693,187540,INR,From India
BA4931,British Airways,BA,SIN,Singapore,Singapore,BLR,Bengaluru,India,2025-07-08 02:30,2025-07-08 14:14,704,2+ Stops,43014,81228,INR,To India
UK1085,Vistara,UK,GOI,Goa,India,BKK,Bangkok,Thailand,2025-09-27 09:15,2025-09-27 20:52,697,2+ Stops,44655,95106,INR,From India
AI164,Air India,AI,CDG,Paris,France,CCU,Kolkata,India,2025-07-31 00:00,2025-07-31 08:14,494,1 Stop,113144,266177,INR,To India
AI8807,Air India,AI,BOM,Mumbai,India,CDG,Paris,France,2025-01-17 06:15,2025-01-17 17:44,689,2+ Stops,92515,208493,INR,From India
LH575,Lufthansa,LH,DXB,Dubai,UAE,TRV,Thiruvananthapuram,India,2025-03-05 04:15,2025-03-05 16:05,710,Direct,119548,263913,INR,To India
SQ9583,Singapore Airlines,SQ,ICN,Seoul,South Korea,BLR,Bengaluru,India,2025-08-29 19:45,2025-08-29 23:48,243,1 Stop,105209,190427,INR,To India
QR9639,Qatar Airways,QR,SIN,Singapore,Singapore,MAA,Chennai,India,2025-03-29 01:30,2025-03-29 15:13,823,Direct,33035,82173,INR,To India
LH819,Lufthansa,LH,MAA,Chennai,India,NRT,Tokyo,Japan,2025-01-12 01:15,2025-01-12 11:00,585,1 Stop,96370,232371,INR,From India
EK7561,Emirates,EK,DXB,Dubai,UAE,TRV,Thiruvananthapuram,India,2025-04-26 01:15,2025-04-26 14:16,781,1 Stop,42745,87705,INR,To India
SQ6874,Singapore Airlines,SQ,TRV,Thiruvananthapuram,India,DOH,Doha,Qatar,2025-02-05 07:45,2025-02-05 22:16,871,1 Stop,114170,258921,INR,From India
EK4862,Emirates,EK,AMD,Ahmedabad,India,LHR,London,UK,2025-02-15 05:15,2025-02-15 14:21,546,1 Stop,69677,135817,INR,From India
LH5854,Lufthansa,LH,BOM,Mumbai,India,SIN,Singapore,Singapore,2025-06-22 12:00,2025-06-22 17:06,306,2+ Stops,75348,185405,INR,From India
SQ514,Singapore Airlines,SQ,DXB,Dubai,UAE,COK,Kochi,India,2025-05-27 11:15,2025-05-27 21:41,626,1 Stop,24576,49724,INR,To India
UK7752,Vistara,UK,SYD,Sydney,Australia,MAA,Chennai,India,2025-02-18 06:30,2025-02-18 18:47,737,Direct,36750,82466,INR,To India
EK3823,Emirates,EK,SIN,Singapore,Singapore,CCU,Kolkata,India,2025-07-28 12:15,2025-07-28 20:19,484,1 Stop,82384,181563,INR,To India
SQ2156,Singapore Airlines,SQ,CDG,Paris,France,HYD,Hyderabad,India,2025-07-09 17:15,2025-07-10 03:08,593,Direct,99718,220192,INR,To India
LH1509,Lufthansa,LH,DOH,Doha,Qatar,GOI,Goa,India,2025-01-16 21:15,2025-01-17 05:33,498,2+ Stops,21966,46391,INR,To India
EK1179,Emirates,EK,SIN,Singapore,Singapore,MAA,Chennai,India,2025-02-26 02:30,2025-02-26 14:02,692,2+ Stops,119412,243309,INR,To India
QR7709,Qatar Airways,QR,BOM,Mumbai,India,DXB,Dubai,UAE,2025-03-07 22:45,2025-03-08 06:34,469,2+ Stops,66648,141473,INR,From India
AI7678,Air India,AI,SFO,San Francisco,USA,HYD,Hyderabad,India,2025-07-08 21:30,2025-07-09 07:32,602,Direct,23311,54250,INR,To India
6E762,IndiGo,6E,CCU,Kolkata,India,FRA,Frankfurt,Germany,2025-04-05 09:00,2025-04-05 16:37,457,1 Stop,99811,238273,INR,From India
LH5194,Lufthansa,LH,SFO,San Francisco,USA,TRV,Thiruvananthapuram,India,2025-04-13 09:15,2025-04-13 18:44,569,2+ Stops,116773,213856,INR,To India
SQ115,Singapore Airlines,SQ,DXB,Dubai,UAE,TRV,Thiruvananthapuram,India,2025-09-25 08:45,2025-09-25 23:11,866,Direct,109696,247937,INR,To India
AI5763,Air India,AI,DEL,New Delhi,India,CDG,Paris,France,2025-05-07 21:00,2025-05-08 00:38,218,2+ Stops,61753,121536,INR,From India
LH5675,Lufthansa,LH,SYD,Sydney,Australia,COK,Kochi,India,2025-04-25 08:00,2025-04-25 16:57,537,2+ Stops,75571,162783,INR,To India
EK9260,Emirates,EK,GOI,Goa,India,LHR,London,UK,2025-08-09 21:15,2025-08-10 08:36,681,1 Stop,119866,233910,INR,From India
EK6844,Emirates,EK,SFO,San Francisco,USA,GOI,Goa,India,2025-10-07 08:15,2025-10-07 12:15,240,Direct,42026,87677,INR,To India
UK8544,Vistara,UK,SFO,San Francisco,USA,HYD,Hyderabad,India,2025-09-08 21:45,2025-09-09 04:48,423,2+ Stops,112487,224228,INR,To India
BA2032,British Airways,BA,BLR,Bengaluru,India,FRA,Frankfurt,Germany,2025-06-04 04:15,2025-06-04 17:16,781,2+ Stops,93828,186963,INR,From India
UK6006,Vistara,UK,BLR,Bengaluru,India,FRA,Frankfurt,Germany,2025-08-26 12:15,2025-08-26 17:12,297,1 Stop,110456,224388,INR,From India
QR1951,Qatar Airways,QR,LHR,London,UK,DEL,New Delhi,India,2025-06-06 06:00,2025-06-06 20:58,898,Direct,60490,130562,INR,To India
BA8054,British Airways,BA,AMD,Ahmedabad,India,NRT,Tokyo,Japan,2025-05-30 05:00,2025-05-30 08:46,226,Direct,21417,46577,INR,From India
6E5986,IndiGo,6E,TRV,Thiruvananthapuram,India,DOH,Doha,Qatar,2025-09-09 13:45,2025-09-09 19:59,374,Direct,91181,187600,INR,From India
QR2477,Qatar Airways,QR,TRV,Thiruvananthapuram,India,SYD,Sydney,Australia,2025-05-07 02:15,2025-05-07 05:43,208,1 Stop,23315,56411,INR,From India
UK5936,Vistara,UK,BLR,Bengaluru,India,FRA,Frankfurt,Germany,2025-02-23 23:30,2025-02-24 13:01,811,1 Stop,62817,132135,INR,From India
BA6706,British Airways,BA,SFO,San Francisco,USA,CCU,Kolkata,India,2025-05-11 07:00,2025-05-11 10:42,222,Direct,34055,76742,INR,To India
SQ2365,Singapore Airlines,SQ,BKK,Bangkok,Thailand,AMD,Ahmedabad,India,2025-03-23 09:00,2025-03-23 14:25,325,1 Stop,110175,218366,INR,To India
SQ8476,Singapore Airlines,SQ,BOM,Mumbai,India,LHR,London,UK,2025-09-04 06:15,2025-09-04 15:36,561,1 Stop,20367,37182,INR,From India
AI2988,Air India,AI,JFK,New York,USA,HYD,Hyderabad,India,2025-09-22 22:45,2025-09-23 07:31,526,2+ Stops,28220,60699,INR,To India
AI8991,Air India,AI,DOH,Doha,Qatar,COK,Kochi,India,2025-08-16 18:30,2025-08-17 07:11,761,1 Stop,45613,99211,INR,To India
UK4966,Vistara,UK,COK,Kochi,India,ICN,Seoul,South Korea,2025-07-26 19:00,2025-07-26 23:01,241,2+ Stops,114734,268610,INR,From India
UK7429,Vistara,UK,CCU,Kolkata,India,NRT,Tokyo,Japan,2025-06-04 10:00,2025-06-04 16:13,373,2+ Stops,49161,115181,INR,From India
BA7331,British Airways,BA,FRA,Frankfurt,Germany,BLR,Bengaluru,India,2025-10-13 18:45,2025-10-14 03:53,548,1 Stop,89465,178231,INR,To India
UK3172,Vistara,UK,BOM,Mumbai,India,DXB,Dubai,UAE,2025-04-15 17:00,2025-04-15 23:46,406,2+ Stops,53225,123468,INR,From India
SQ6785,Singapore Airlines,SQ,AMD,Ahmedabad,India,DXB,Dubai,UAE,2025-04-27 17:00,2025-04-28 04:45,705,2+ Stops,97130,218881,INR,From India
6E3239,IndiGo,6E,SFO,San Francisco,USA,AMD,Ahmedabad,India,2025-09-22 03:45,2025-09-22 18:27,882,2+ Stops,71375,159554,INR,To India
BA9837,British Airways,BA,BOM,Mumbai,India,SFO,San Francisco,USA,2025-01-31 12:15,2025-01-31 16:03,228,Direct,68804,126144,INR,From India
UK5910,Vistara,UK,HYD,Hyderabad,India,JFK,New York,USA,2025-08-08 02:15,2025-08-08 14:51,756,Direct,35035,88778,INR,From India
AI5948,Air India,AI,CCU,Kolkata,India,YYZ,Toronto,Canada,2025-05-12 03:15,2025-05-12 12:36,561,2+ Stops,87263,208541,INR,From India
BA4072,British Airways,BA,DEL,New Delhi,India,CDG,Paris,France,2025-02-22 11:30,2025-02-23 00:47,797,1 Stop,34807,63603,INR,From India
SQ1308,Singapore Airlines,SQ,MAA,Chennai,India,SYD,Sydney,Australia,2025-01-12 18:45,2025-01-12 23:41,296,1 Stop,22746,49823,INR,From India
QR4502,Qatar Airways,QR,ICN,Seoul,South Korea,BLR,Bengaluru,India,2025-07-15 04:30,2025-07-15 16:41,731,1 Stop,110376,265912,INR,To India
UK9929,Vistara,UK,SIN,Singapore,Singapore,DEL,New Delhi,India,2025-09-08 16:45,2025-09-08 20:17,212,1 Stop,24647,45835,INR,To India
SQ5199,Singapore Airlines,SQ,BLR,Bengaluru,India,SYD,Sydney,Australia,2025-07-22 07:00,2025-07-22 16:09,549,Direct,63158,140375,INR,From India
BA5596,British Airways,BA,SFO,San Francisco,USA,MAA,Chennai,India,2025-08-29 10:45,2025-08-29 20:22,577,2+ Stops,66357,136130,INR,To India
AI2453,Air India,AI,CCU,Kolkata,India,DXB,Dubai,UAE,2025-05-09 14:00,2025-05-10 03:46,826,1 Stop,39114,93152,INR,From India
QR1660,Qatar Airways,QR,HYD,Hyderabad,India,JFK,New York,USA,2025-07-03 18:15,2025-07-04 09:10,895,Direct,24471,61961,INR,From India
6E5695,IndiGo,6E,TRV,Thiruvananthapuram,India,FRA,Frankfurt,Germany,2025-07-06 09:15,2025-07-06 14:39,324,2+ Stops,109303,203043,INR,From India
EK5395,Emirates,EK,GOI,Goa,India,FRA,Frankfurt,Germany,2025-06-30 17:45,2025-07-01 02:27,522,1 Stop,27923,65992,INR,From India
EK7524,Emirates,EK,MAA,Chennai,India,YYZ,Toronto,Canada,2025-06-29 04:15,2025-06-29 10:45,390,1 Stop,20947,52598,INR,From India
QR4230,Qatar Airways,QR,COK,Kochi,India,CDG,Paris,France,2025-03-29 18:00,2025-03-29 23:27,327,2+ Stops,59516,141403,INR,From India
6E5948,IndiGo,6E,BOM,Mumbai,India,DXB,Dubai,UAE,2025-10-28 05:30,2025-10-28 18:24,774,2+ Stops,66332,171797,INR,From India
BA4491,British Airways,BA,BOM,Mumbai,India,NRT,Tokyo,Japan,2025-04-01 08:30,2025-04-01 20:49,739,Direct,23024,55414,INR,From India
LH4060,Lufthansa,LH,LHR,London,UK,MAA,Chennai,India,2025-08-19 06:30,2025-08-19 18:03,693,2+ Stops,104946,197262,INR,To India
AI8897,Air India,AI,CDG,Paris,France,BLR,Bengaluru,India,2025-02-11 02:30,2025-02-11 07:49,319,2+ Stops,20661,40300,INR,To India
EK5634,Emirates,EK,LHR,London,UK,CCU,Kolkata,India,2025-06-15 10:00,2025-06-16 00:04,844,Direct,83743,177891,INR,To India
AI7691,Air India,AI,YYZ,Toronto,Canada,COK,Kochi,India,2025-02-15 20:30,2025-02-16 07:56,686,Direct,98360,208488,INR,To India
BA3548,British Airways,BA,CDG,Paris,France,CCU,Kolkata,India,2025-01-30 13:30,2025-01-30 19:10,340,Direct,32248,58526,INR,To India
LH3868,Lufthansa,LH,SIN,Singapore,Singapore,CCU,Kolkata,India,2025-06-27 17:15,2025-06-28 07:28,853,2+ Stops,98848,223394,INR,To India
AI8777,Air India,AI,AMD,Ahmedabad,India,YYZ,Toronto,Canada,2025-06-09 20:45,2025-06-10 09:17,752,1 Stop,56472,117974,INR,From India
SQ1573,Singapore Airlines,SQ,LHR,London,UK,HYD,Hyderabad,India,2025-02-22 20:30,2025-02-23 02:04,334,Direct,102431,203072,INR,To India
EK3007,Emirates,EK,LHR,London,UK,BOM,Mumbai,India,2025-10-13 05:30,2025-10-13 18:50,800,2+ Stops,67921,162336,INR,To India
BA6473,British Airways,BA,LHR,London,UK,GOI,Goa,India,2025-05-06 14:45,2025-05-06 21:23,398,1 Stop,103378,261534,INR,To India
AI5845,Air India,AI,YYZ,Toronto,Canada,CCU,Kolkata,India,2025-02-26 21:00,2025-02-27 01:07,247,Direct,104601,264737,INR,To India
LH7207,Lufthansa,LH,BKK,Bangkok,Thailand,TRV,Thiruvananthapuram,India,2025-07-13 21:15,2025-07-14 00:46,211,Direct,53020,96316,INR,To India
BA9431,British Airways,BA,DXB,Dubai,UAE,CCU,Kolkata,India,2025-08-07 20:30,2025-08-08 04:35,485,Direct,85352,168424,INR,To India
UK4191,Vistara,UK,HYD,Hyderabad,India,YYZ,Toronto,Canada,2025-06-04 09:00,2025-06-04 17:39,519,Direct,20515,44895,INR,From India
SQ7293,Singapore Airlines,SQ,TRV,Thiruvananthapuram,India,CDG,Paris,France,2025-04-20 18:00,2025-04-21 00:34,394,Direct,116404,243085,INR,From India
AI5861,Air India,AI,BLR,Bengaluru,India,DOH,Doha,Qatar,2025-02-28 04:00,2025-02-28 09:16,316,Direct,59676,114616,INR,From India
LH5599,Lufthansa,LH,FRA,Frankfurt,Germany,AMD,Ahmedabad,India,2025-02-17 13:30,2025-02-18 03:27,837,Direct,107208,254413,INR,To India
AI426,Air India,AI,YYZ,Toronto,Canada,MAA,Chennai,India,2025-01-21 04:15,2025-01-21 17:03,768,Direct,76426,180268,INR,To India
6E8954,IndiGo,6E,BOM,Mumbai,India,JFK,New York,USA,2025-09-08 04:45,2025-09-08 07:47,182,Direct,43459,86011,INR,From India
SQ3003,Singapore Airlines,SQ,SIN,Singapore,Singapore,GOI,Goa,India,2025-02-10 11:15,2025-02-10 18:04,409,Direct,115865,215266,INR,To India
AI4477,Air India,AI,HYD,Hyderabad,India,JFK,New York,USA,2025-04-12 16:00,2025-04-13 01:57,597,Direct,92957,238113,INR,From India
SQ4500,Singapore Airlines,SQ,DEL,New Delhi,India,FRA,Frankfurt,Germany,2025-10-07 09:30,2025-10-08 00:16,886,1 Stop,73788,190807,INR,From India
LH186,Lufthansa,LH,CCU,Kolkata,India,ICN,Seoul,South Korea,2025-07-17 04:45,2025-07-17 14:19,574,Direct,73735,180134,INR,From India
LH911,Lufthansa,LH,TRV,Thiruvananthapuram,India,SYD,Sydney,Australia,2025-05-05 06:00,2025-05-05 10:28,268,1 Stop,101373,246049,INR,From India
BA7810,British Airways,BA,AMD,Ahmedabad,India,ICN,Seoul,South Korea,2025-08-23 18:00,2025-08-24 05:04,664,2+ Stops,117806,273058,INR,From India
LH8722,Lufthansa,LH,TRV,Thiruvananthapuram,India,ICN,Seoul,South Korea,2025-05-02 20:45,2025-05-03 05:48,543,1 Stop,113345,209834,INR,From India
EK9450,Emirates,EK,BOM,Mumbai,India,FRA,Frankfurt,Germany,2025-05-17 08:45,2025-05-17 17:41,536,Direct,88425,200865,INR,From India
BA2597,British Airways,BA,YYZ,Toronto,Canada,BOM,Mumbai,India,2025-09-27 06:15,2025-09-27 15:29,554,2+ Stops,51279,119938,INR,To India
AI4220,Air India,AI,BLR,Bengaluru,India,FRA,Frankfurt,Germany,2025-06-15 12:30,2025-06-15 22:48,618,1 Stop,36126,76876,INR,From India
QR7410,Qatar Airways,QR,SIN,Singapore,Singapore,CCU,Kolkata,India,2025-08-21 21:00,2025-08-22 04:41,461,2+ Stops,71845,146017,INR,To India
SQ8108,Singapore Airlines,SQ,FRA,Frankfurt,Germany,AMD,Ahmedabad,India,2025-04-01 16:15,2025-04-01 19:21,186,2+ Stops,109152,207871,INR,To India
BA4354,British Airways,BA,SIN,Singapore,Singapore,TRV,Thiruvananthapuram,India,2025-07-16 08:00,2025-07-16 20:29,749,Direct,46326,83416,INR,To India
QR8183,Qatar Airways,QR,SYD,Sydney,Australia,HYD,Hyderabad,India,2025-06-16 08:15,2025-06-16 15:46,451,Direct,77418,145008,INR,To India
QR4937,Qatar Airways,QR,BKK,Bangkok,Thailand,BLR,Bengaluru,India,2025-07-11 01:45,2025-07-11 11:09,564,1 Stop,68126,124902,INR,To India
QR3239,Qatar Airways,QR,TRV,Thiruvananthapuram,India,YYZ,Toronto,Canada,2025-07-01 07:45,2025-07-01 20:37,772,2+ Stops,36970,93898,INR,From India
EK6894,Emirates,EK,BOM,Mumbai,India,FRA,Frankfurt,Germany,2025-06-19 02:00,2025-06-19 12:36,636,1 Stop,69729,147449,INR,From India
SQ1166,Singapore Airlines,SQ,CDG,Paris,France,BOM,Mumbai,India,2025-08-26 22:45,2025-08-27 08:49,604,1 Stop,82076,159308,INR,To India
AI4916,Air India,AI,AMD,Ahmedabad,India,SFO,San Francisco,USA,2025-04-30 23:15,2025-05-01 09:06,591,2+ Stops,90997,166749,INR,From India
SQ1766,Singapore Airlines,SQ,COK,Kochi,India,YYZ,Toronto,Canada,2025-03-03 02:15,2025-03-03 06:33,258,1 Stop,94845,232748,INR,From India
SQ9117,Singapore Airlines,SQ,CDG,Paris,France,MAA,Chennai,India,2025-01-30 21:15,2025-01-31 05:58,523,2+ Stops,83280,207400,INR,To India
LH198,Lufthansa,LH,TRV,Thiruvananthapuram,India,SFO,San Francisco,USA,2025-01-27 20:15,2025-01-28 04:43,508,Direct,63822,124593,INR,From India
6E8471,IndiGo,6E,GOI,Goa,India,DOH,Doha,Qatar,2025-06-11 12:30,2025-06-12 02:49,859,1 Stop,59161,132790,INR,From India
EK3499,Emirates,EK,DOH,Doha,Qatar,HYD,Hyderabad,India,2025-07-15 13:30,2025-07-15 21:42,492,2+ Stops,46477,88557,INR,To India
SQ9211,Singapore Airlines,SQ,AMD,Ahmedabad,India,FRA,Frankfurt,Germany,2025-10-27 04:30,2025-10-27 13:19,529,2+ Stops,46249,100135,INR,From India
6E7294,IndiGo,6E,LHR,London,UK,CCU,Kolkata,India,2025-07-30 18:30,2025-07-30 22:06,216,1 Stop,55855,110355,INR,To India
SQ7206,Singapore Airlines,SQ,YYZ,Toronto,Canada,MAA,Chennai,India,2025-07-28 23:45,2025-07-29 06:13,388,2+ Stops,46635,86096,INR,To India
6E8262,IndiGo,6E,SFO,San Francisco,USA,DEL,New Delhi,India,2025-09-13 05:00,2025-09-13 17:34,754,Direct,116626,284632,INR,To India
UK3403,Vistara,UK,MAA,Chennai,India,ICN,Seoul,South Korea,2025-03-17 22:15,2025-03-18 10:03,708,Direct,33220,72171,INR,From India
QR2285,Qatar Airways,QR,DXB,Dubai,UAE,COK,Kochi,India,2025-08-16 21:45,2025-08-17 03:23,338,Direct,27427,69639,INR,To India
EK3615,Emirates,EK,DOH,Doha,Qatar,AMD,Ahmedabad,India,2025-10-27 10:15,2025-10-27 18:31,496,Direct,53821,110845,INR,To India
BA1633,British Airways,BA,LHR,London,UK,COK,Kochi,India,2025-07-15 04:30,2025-07-15 11:18,408,Direct,105829,236694,INR,To India
UK2100,Vistara,UK,BLR,Bengaluru,India,SYD,Sydney,Australia,2025-08-10 10:45,2025-08-10 15:42,297,2+ Stops,25087,61784,INR,From India
6E1623,IndiGo,6E,ICN,Seoul,South Korea,GOI,Goa,India,2025-05-30 15:30,2025-05-30 18:48,198,Direct,118352,287023,INR,To India
6E5012,IndiGo,6E,HYD,Hyderabad,India,DOH,Doha,Qatar,2025-04-15 04:45,2025-04-15 12:22,457,Direct,49776,112644,INR,From India
EK7466,Emirates,EK,SIN,Singapore,Singapore,DEL,New Delhi,India,2025-03-20 21:30,2025-03-21 01:21,231,1 Stop,42541,87911,INR,To India
